Source,Drug,Brand,Disease / Indication,Disease Category,Modality,Drug Target (Gene),Annual Revenue 2024 (USD B),Dose,Frequency,Duration of Use,Amino Acid Length,Molecular Weight (Da),AAV Suitability,AAV Rationale
Purple Book,ropeginterferon alfa-2b-njft,Besremi,Polycythemia vera (PV),Hematology – Myeloproliferative,Enzyme / Protein Replacement,"IFNAR1, IFNAR2",0.2,100–500 mcg SC (titrated),Every 2 weeks,Indefinite,165,60000,Medium,"IFN-alpha-2b (~0.5 kb) is small and encodable and PEG only extends half-life, but continuous systemic interferon expression raises tolerability concerns."
Purple Book,"antihemophilic factor (recombinant), rAHF",Advate / Kogenate / Kovaltry,Hemophilia A (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F8,0.8,20–40 IU/kg IV,Every 2–3 days,Lifelong,2332,280000,Medium,"Hemophilia A is a validated AAV target (FDA-approved Roctavian), but full-length Factor VIII (~7 kb) exceeds AAV capacity and requires a B-domain-deleted construct (~4.4 kb) to fit."
Purple Book,"antihemophilic factor (recombinant), pegylated-aucl",Adynovate / Jivi,Hemophilia A (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F8,0.5,40–60 IU/kg IV,Twice weekly,Lifelong,2332,300000,Low,Full-length Factor VIII (~7 kb) exceeds AAV capacity and the PEGylation cannot be gene-encoded.
Purple Book,"coagulation factor ix (recombinant), glycopegylated",Rebinyn / Refixia,Hemophilia B (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F9,0.4,40 IU/kg IV,Once weekly,Lifelong,415,98000,High,Factor IX (~1.4 kb) is the gold-standard AAV target (FDA-approved Hemgenix); the marketed glyco-PEGylation is only a half-life add-on AAV makes unnecessary.
Purple Book,coagulation factor viia (recombinant),Sevenfact / NovoSeven,Hemophilia A/B with inhibitors (prophylaxis),Hematology – Hemophilia,Enzyme / Protein Replacement,F7,0.4,90 mcg/kg IV q2h until hemostasis (acute); prophylaxis varies,Per bleed (on-demand); prophylaxis daily/twice weekly,Lifelong (on-demand or prophylaxis),406,50000,High,Factor VII/VIIa (~1.4 kb); a small secreted clotting factor comfortably within AAV capacity and mechanism-compatible.
Purple Book,coagulation factor viia (recombinant)-jncw,Alhemo / Pfizer rFVIIa,Hemophilia A/B with inhibitors,Hematology – Hemophilia,Enzyme / Protein Replacement,F7,0.1,Varies by indication,Daily to weekly SC (prophylaxis),Lifelong,406,50000,High,"Factor VII/VIIa (~1.4 kb); small secreted clotting factor well within AAV capacity, no chemical modification."
Purple Book,epoetin alfa,Epogen / Procrit,Anemia of chronic kidney disease (dialysis),Hematology – Anemia,Enzyme / Protein Replacement,EPOR,1,50–300 IU/kg IV/SC,3 times per week,Indefinite (until transplant or change in therapy),165,30400,High,Recombinant erythropoietin (~0.5 kb); AAV-EPO is extensively validated in animal models (controlling expression level is the main caveat).
Purple Book,epoetin alfa,Epogen / Procrit,Anemia of CKD (non-dialysis),Hematology – Anemia,Enzyme / Protein Replacement,EPOR,1,50–200 IU/kg SC,3 times per week,Indefinite,165,30400,High,Recombinant erythropoietin (~0.5 kb); AAV-EPO is extensively validated in animal models (controlling expression level is the main caveat).
Purple Book,filgrastim,Neupogen / Granix,Severe chronic neutropenia (SCN),Hematology – Rare Blood,Enzyme / Protein Replacement,CSF3R,0.5,6–12 mcg/kg SC daily,Daily,Lifelong (congenital neutropenia),175,18800,High,Recombinant G-CSF (~0.5 kb); a natural secreted cytokine that AAV can express to treat chronic neutropenia.
Purple Book,sacrosidase,Sucraid,Congenital sucrase-isomaltase deficiency (CSID),Enzyme Deficiency,Enzyme / Protein Replacement,SI,0.1,1–2 mL (8500 IU/mL) per meal (weight-adjusted),With every meal,Lifelong,513,100000,Low,Yeast-derived oral sucrase acting in the intestinal lumen; a non-human enzyme delivered by the wrong route for AAV.
Purple Book,pancrelipase,Creon / Zenpep / Pancreaze,Exocrine pancreatic insufficiency (EPI),Enzyme Deficiency,Enzyme / Protein Replacement,PNLIP,1.5,500–2500 lipase IU/kg per meal (individualized),With every meal and snack,Lifelong,,,Low,Porcine digestive-enzyme mixture acting in the gut lumen; no single gene and the wrong delivery route for AAV.
Purple Book,pegunigalsidase alfa,Elfabrio,Fabry disease,Enzyme Deficiency,Enzyme / Protein Replacement,GLA,0.1,1 mg/kg IV,Every 2 weeks,Lifelong,810,116000,Medium,"Alpha-galactosidase A is small (~1.2 kb) and Fabry AAV is in trials, but this product's PEGylation and chemical cross-linking cannot be genetically encoded."
Purple Book,velmanase alfa-tycv,Lamzede,Alpha-mannosidosis,Enzyme Deficiency,Enzyme / Protein Replacement,MAN2B1,0.05,1 IU/kg IV,Every 2 weeks,Lifelong,1011,130000,High,"Alpha-mannosidase (~3.0 kb); a natural secreted glycoprotein within AAV capacity, no chemical modification."
Purple Book,olipudase alfa,Xenpozyme,Acid sphingomyelinase deficiency (ASMD / NPD-A/B),Enzyme Deficiency,Enzyme / Protein Replacement,SMPD1,0.1,3 mg/kg IV,Every 2 weeks,Lifelong,570,76000,High,"Acid sphingomyelinase (~1.7 kb); a secreted lysosomal enzyme amenable to AAV cross-correction, with no chemical modification."
Purple Book,avalglucosidase alfa-ngpt,Nexviazyme,Late-onset Pompe disease (LOPD),Enzyme Deficiency,Enzyme / Protein Replacement,GAA,0.4,20 mg/kg IV,Every 2 weeks,Lifelong,952,124000,Medium,"The GAA gene (~2.9 kb) fits AAV and AAV-Pompe programs are in trials, but this product's synthetic bis-M6P glycan conjugation for uptake cannot be gene-encoded."
Purple Book,cipaglucosidase alfa-atga,Pombiliti,Late-onset Pompe disease (+miglustat),Enzyme Deficiency,Enzyme / Protein Replacement,GAA,0.2,20 mg/kg IV (+ 260 mg oral miglustat 1h prior),Every 2 weeks,Lifelong,952,110000,Medium,"The GAA gene (~2.9 kb) fits AAV, but the product relies on optimized glycosylation plus a co-administered chaperone (miglustat)."
Purple Book,tividenofusp alfa-eknm,Avlayah,MPS II (Hunter syndrome),Enzyme Deficiency,Enzyme / Protein Replacement,IDS,0.05,3 mg/kg IV,Once weekly,Lifelong,830,110000,Medium,"Fully protein-encoded IDS-transferrin-receptor-antibody fusion (~2.5 kb) for CNS delivery; gene fits and MPS II AAV is in trials, but the complex bispecific fusion is harder to express well."
Purple Book,pegzilarginase,Loargys,Arginase 1 deficiency (hyperargininemia),Enzyme Deficiency,Enzyme / Protein Replacement,ARG1,0.05,0.1 mg/kg IV (start); titrate to 0.2 mg/kg,Once weekly,Lifelong,966,284000,Low,"Cobalt-substituted, PEGylated arginase; both the non-natural metal substitution and the PEG are impossible to genetically encode."
Purple Book,alpha,Prolastin-C / Glassia,Alpha-1 antitrypsin deficiency (AATD) with emphysema,Enzyme Deficiency,Enzyme / Protein Replacement,SERPINA1,0.4,60 mg/kg IV,Once weekly,Lifelong augmentation,394,52000,High,"Alpha-1 antitrypsin (SERPINA1, ~1.2 kb); a secreted serpin and one of the classic AAV gene-therapy targets (multiple AAV-AAT trials)."
Purple Book,pegloticase,Krystexxa,Refractory chronic gout,Rheumatology / Metabolic,Enzyme / Protein Replacement,UOX,0.3,8 mg IV,Every 2 weeks,Until therapeutic goal (months to years; may stop if serum urate normalizes),1216,540000,Low,PEGylated non-human (porcine-baboon) uricase; the foreign protein plus its essential PEG make it immunogenic and non-encodable.
Purple Book,etanercept,Enbrel / biosimilars,Rheumatoid arthritis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,50 mg SC,Once weekly,Indefinite,934,150000,High,TNFR2-Fc fusion (~1.4 kb/chain); pure secreted protein. AAV delivery has been studied for sustained anti-TNF therapy in arthritis.
Purple Book,etanercept,Enbrel / biosimilars,Psoriatic arthritis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,50 mg SC,Once weekly,Indefinite,934,150000,High,TNFR2-Fc fusion (~1.4 kb/chain); pure secreted protein. AAV delivery has been studied for sustained anti-TNF therapy in arthritis.
Purple Book,etanercept,Enbrel / biosimilars,Ankylosing spondylitis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,50 mg SC,Once weekly,Indefinite,934,150000,High,TNFR2-Fc fusion (~1.4 kb/chain); pure secreted protein. AAV delivery has been studied for sustained anti-TNF therapy in arthritis.
Purple Book,etanercept,Enbrel / biosimilars,Juvenile idiopathic arthritis,Autoimmune – Rheumatology,Fusion Protein,TNF,3.5,0.8 mg/kg SC (max 50 mg),Once weekly,Indefinite,934,150000,High,TNFR2-Fc fusion (~1.4 kb/chain); pure secreted protein. AAV delivery has been studied for sustained anti-TNF therapy in arthritis.
Purple Book,etanercept,Enbrel / biosimilars,Plaque psoriasis,Autoimmune – Dermatology,Fusion Protein,TNF,3.5,"50 mg SC twice weekly ??12 wks (induction), then 50 mg",Once weekly (maintenance),Indefinite,934,150000,High,TNFR2-Fc fusion (~1.4 kb/chain); pure secreted protein. AAV delivery has been studied for sustained anti-TNF therapy in arthritis.
Purple Book,efgartigimod alfa-fcab,Vyvgart,Generalized myasthenia gravis (gMG),Neurology – Neuromuscular,Fusion Protein,FCGRT,0.6,10 mg/kg IV weekly ??4 doses per cycle,Repeat cycles every 4–8 weeks based on response,Indefinite cycling,454,54000,High,"Engineered IgG1 Fc fragment (~0.7 kb/chain); small, secreted, no chemical modification."
Purple Book,efgartigimod alfa and hyaluronidase,Vyvgart Hytrulo,Generalized myasthenia gravis,Neurology – Neuromuscular,Fusion Protein,FCGRT,0.6,"1000 mg/11,250 U SC weekly ??4 per cycle",Repeat cycles every 4–8 weeks,Indefinite,454,54000,High,Active is the same ~0.7 kb Fc fragment; the co-formulated hyaluronidase is only a subcutaneous-delivery excipient not needed for gene therapy.
Purple Book,"antihemophilic factor (recombinant), fc",Eloctate / Elocta,"Hemophilia A (prophylaxis, extended half-life)",Hematology – Hemophilia,Fusion Protein,F8,0.6,25–65 IU/kg IV,Every 3–5 days,Lifelong,1890,220000,Low,Factor VIII-Fc fusion (~5.7 kb) exceeds single-AAV packaging capacity.
Purple Book,aflibercept,Eylea / Eylea HD,Neovascular (wet) AMD,Ophthalmology,Fusion Protein,"VEGFA, PGF",9.3,2 mg intravitreal (monthly ??3); or 8 mg monthly ??4 (HD),Every 8 weeks (standard) / up to every 16 weeks (HD T&E),Indefinite,862,115000,High,VEGF-Trap Fc-fusion (~1.3 kb/chain); secreted homodimer with no chemical modification. AAV-aflibercept is already in clinical trials (e.g. ADVM-022 / Ixo-vec for wet AMD).
Purple Book,aflibercept,Eylea / Eylea HD,Diabetic macular edema (DME),Ophthalmology,Fusion Protein,"VEGFA, PGF",9.3,"2 mg intravitreal monthly ??5, then q8w",Every 8 weeks,Indefinite,862,115000,High,VEGF-Trap Fc-fusion (~1.3 kb/chain); secreted homodimer with no chemical modification. AAV-aflibercept is already in clinical trials (e.g. ADVM-022 / Ixo-vec for wet AMD).
Purple Book,aflibercept,Eylea / Eylea HD,Macular edema from retinal vein occlusion (RVO),Ophthalmology,Fusion Protein,"VEGFA, PGF",9.3,"2 mg intravitreal monthly ??6, then PRN",Monthly / PRN,Indefinite,862,115000,High,VEGF-Trap Fc-fusion (~1.3 kb/chain); secreted homodimer with no chemical modification. AAV-aflibercept is already in clinical trials (e.g. ADVM-022 / Ixo-vec for wet AMD).
Purple Book,aflibercept,Eylea,Diabetic retinopathy (all DR),Ophthalmology,Fusion Protein,"VEGFA, PGF",9.3,2 mg intravitreal monthly ??5,Every 8 weeks,Indefinite,862,115000,High,VEGF-Trap Fc-fusion (~1.3 kb/chain); secreted homodimer with no chemical modification. AAV-aflibercept is already in clinical trials (e.g. ADVM-022 / Ixo-vec for wet AMD).
Purple Book,dulaglutide,Trulicity,Type 2 diabetes mellitus,Endocrinology – Diabetes,Fusion Protein,GLP1R,4.8,0.75 mg SC (starting); up to 4.5 mg weekly,Once weekly,Indefinite,546,62561,High,"GLP-1-Fc fusion (~0.8 kb/chain); long action comes from the genetically-encoded Fc, not chemistry, so a cell can fully make and secrete it."
Purple Book,dulaglutide,Trulicity,Cardiovascular risk reduction (T2DM with CVD),Endocrinology – Diabetes,Fusion Protein,GLP1R,4.8,0.75–1.5 mg SC weekly,Once weekly,Indefinite,546,62561,High,"GLP-1-Fc fusion (~0.8 kb/chain); long action comes from the genetically-encoded Fc, not chemistry, so a cell can fully make and secrete it."
Purple Book,lerodalcibep-liga,Lerodalcibep (Lepodisiran/approved name),LDL-C reduction (HeFH / ASCVD),Endocrinology – Lipid,Fusion Protein,PCSK9,0.05,300 mg SC,Once monthly,Indefinite,700,77000,High,"Small anti-PCSK9 domain fused to human serum albumin (~2.1 kb); fully protein-based and secreted, suited to continuous AAV expression."
Purple Book,sotatercept,Winrevair,Pulmonary arterial hypertension (PAH) – WHO Group I,Cardiovascular / Pulmonary,Fusion Protein,INHBA,0.3,0.3 mg/kg SC (titrate up to 0.7 mg/kg),Every 3 weeks,Indefinite (progressive disease),688,78000,High,"ActRIIA-Fc fusion (~1.0 kb/chain); pure secreted protein, well suited to AAV-mediated secretion."
Purple Book,insulin lispro,Humalog / Admelog / Lyumjev,Type 1 diabetes mellitus,Endocrinology – Diabetes,Peptide / Hormone,INSR,2,0.5–1 IU/kg/day total; mealtime dose ~0.1–0.2 IU/kg,Multiple daily injections (or continuous pump),Lifelong,51,5808,Medium,"Insulin (~0.3 kb) is small and encodable, but requires proinsulin processing and ideally glucose-regulated secretion for diabetes."
Purple Book,insulin lispro,Humalog / Admelog,Type 2 diabetes mellitus,Endocrinology – Diabetes,Peptide / Hormone,INSR,2,"4–10 IU per meal (initial), titrate","With meals, as prescribed",Lifelong (or while required),51,5808,Medium,"Insulin (~0.3 kb) is small and encodable, but requires proinsulin processing and ideally glucose-regulated secretion for diabetes."
Purple Book,insulin glargine,Lantus / Toujeo / Basaglar,Type 1 diabetes mellitus,Endocrinology – Diabetes,Peptide / Hormone,INSR,2.5,0.2–0.4 IU/kg SC once daily,"Once daily (any time, consistent)",Lifelong,53,6063,Medium,"Insulin (~0.3 kb) is small and AAV-insulin is explored, but it needs proinsulin processing and, for diabetes, glucose-regulated secretion."
Purple Book,insulin glargine,Lantus / Toujeo,Type 2 diabetes mellitus,Endocrinology – Diabetes,Peptide / Hormone,INSR,2.5,0.2 IU/kg once daily (starting); titrate to FBG target,Once daily,Lifelong,53,6063,Medium,"Insulin (~0.3 kb) is small and AAV-insulin is explored, but it needs proinsulin processing and, for diabetes, glucose-regulated secretion."
Purple Book,insulin aspart,NovoLog / NovoRapid / Fiasp,Type 1 diabetes mellitus,Endocrinology – Diabetes,Peptide / Hormone,INSR,2,~5–10 IU per meal or per 15 g carbohydrate (individualized),Before each meal,Lifelong,51,5826,Medium,"Insulin (~0.3 kb) is small and encodable, but requires proinsulin processing and ideally glucose-regulated secretion for diabetes."
Purple Book,insulin aspart,NovoLog / Fiasp,Type 2 diabetes mellitus,Endocrinology – Diabetes,Peptide / Hormone,INSR,2,"4–10 IU per meal (starting), titrate",With meals,Lifelong (or while required),51,5826,Medium,"Insulin (~0.3 kb) is small and encodable, but requires proinsulin processing and ideally glucose-regulated secretion for diabetes."
Purple Book,insulin icodec,Awiqli,Type 2 diabetes mellitus,Endocrinology – Diabetes,Peptide / Hormone,INSR,0.1,~70% of total daily insulin dose equivalent SC,Once weekly,Lifelong,51,6089,Medium,The insulin backbone is expressible; the C20 fatty-diacid (for weekly dosing) cannot be gene-encoded but is a half-life feature AAV would replace with continuous output.
Purple Book,somapacitan,Sogroya,Adult growth hormone deficiency (AGHD),Endocrinology – Growth,Peptide / Hormone,GHR,0.1,"1.5–8 mg SC (individualized, titrate)",Once weekly,Indefinite (adult GHD),191,23305,Medium,Growth hormone (~0.6 kb) is a clean AAV target; the albumin-binding fatty acid is a half-life modification AAV would render unnecessary.
Purple Book,somapacitan,Sogroya,Pediatric growth hormone deficiency,Endocrinology – Growth,Peptide / Hormone,GHR,0.1,0.16 mg/kg SC weekly (titrate),Once weekly,Until adequate adult height,191,23305,Medium,Growth hormone (~0.6 kb) is a clean AAV target; the albumin-binding fatty acid is a half-life modification AAV would render unnecessary.
Purple Book,lonapegsomatropin,Skytrofa,Pediatric growth hormone deficiency,Endocrinology – Growth,Peptide / Hormone,GHR,0.1,0.24 mg/kg SC,Once weekly,Until adequate adult height (years),191,63000,Medium,The growth-hormone base (~0.6 kb) is a clean AAV target; the TransCon PEG prodrug chemistry cannot be encoded but only provides slow release.
Purple Book,somatrogon,Ngenla,Pediatric growth hormone deficiency,Endocrinology – Growth,Peptide / Hormone,GHR,0.1,0.66 mg/kg SC,Once weekly,Until adequate adult height (years),275,40000,High,"Growth-hormone-CTP fusion (~0.8 kb); long action from genetically-encoded CTP peptides, no chemistry required."
Purple Book,tesamorelin,Egrifta WR,HIV-associated lipodystrophy (abdominal fat excess),Endocrinology – Metabolic,Peptide / Hormone,GHRHR,0.1,2 mg SC,Once daily,Indefinite (fat accumulates on discontinuation),44,5136,Low,44-aa GHRH analog with an N-terminal hexenoyl group; chemically modified and too small for AAV.
Purple Book,daxibotulinumtoxina,Daxxify,Cervical dystonia,Neurology – Movement Disorder,Peptide / Hormone,SNAP25,0.15,125–250 IU IM (injected into affected muscles),Every ~24 weeks (longest-acting BoNT-A),Indefinite (repeated every ~6 months),1296,150000,Low,Bacterial neurotoxin injected locally for transient muscle paralysis; continuous AAV expression would be unsafe and mechanistically wrong.
Purple Book,letibotulinumtoxina,Letybo,Glabellar (frown) lines,Aesthetic / Neurology,Peptide / Hormone,SNAP25,0.05,30–40 IU IM (5-point injection),Every 3–4 months,Indefinite (periodic),1296,900000,Low,Bacterial botulinum neurotoxin for local injection; not a candidate for sustained genetic expression.
Orange Book,Abaloparatide,TYMLOS,Osteoporosis,Bone / Metabolic,protein,PTH1R,0.02,3.12MG/1.56ML (2MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),34,3961,Low,34-aa synthetic PTHrP analog; a chemically manufactured short peptide with little to gain from AAV delivery.
Orange Book,Abaloparatide,TYMLOS,Menopausal / hormone therapy,Bone / Metabolic,protein,PTH1R,0.02,3.12MG/1.56ML (2MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),34,3961,Low,34-aa synthetic PTHrP analog; a chemically manufactured short peptide with little to gain from AAV delivery.
Orange Book,Calcitonin Salmon,CALCITONIN-SALMON,Osteoporosis,Bone / Metabolic,protein,CALCR,0,200 IU/mL,As directed,Indefinite (lifelong maintenance),32,3432,Medium,32-aa natural (salmon) calcitonin; expressible in principle but very small and of non-human sequence.
Orange Book,Calcitonin Salmon,CALCITONIN-SALMON,Menopausal / hormone therapy,Bone / Metabolic,protein,CALCR,0,200 IU/mL,As directed,Indefinite (lifelong maintenance),32,3432,Medium,32-aa natural (salmon) calcitonin; expressible in principle but very small and of non-human sequence.
Orange Book,Exenatide Synthetic,EXENATIDE SYNTHETIC,Type 2 diabetes,Endocrinology – Diabetes,protein,GLP1R,,300MCG/1.2ML SC,Weekly or as directed,Indefinite (lifelong maintenance),39,4187,Medium,"39-aa exendin-4 with a natural sequence and no chemistry; AAV-exendin has been explored, but the tiny peptide is a weak standalone transgene."
Orange Book,Lanreotide Acetate,LANREOTIDE ACETATE,Dyslipidemia,Gastroenterology – Other,protein,"SSTR5, SSTR2",0.01,120MG BASE/0.5ML (120MG BASE/0.5ML) SC,Weekly or monthly,Indefinite (lifelong maintenance),8,1096,Low,8-aa cyclic somatostatin analog containing D-amino acids; chemically synthesized and not ribosomally translatable.
Orange Book,Lanreotide Acetate,LANREOTIDE ACETATE,CV risk reduction,Gastroenterology – Other,protein,"SSTR5, SSTR2",0.01,120MG BASE/0.5ML (120MG BASE/0.5ML) SC,Weekly or monthly,Indefinite (lifelong maintenance),8,1096,Low,8-aa cyclic somatostatin analog containing D-amino acids; chemically synthesized and not ribosomally translatable.
Orange Book,Linaclotide,LINZESS,Irritable bowel syndrome,Gastroenterology – Motility,protein,GUCY2C,0.92,290MCG oral,Once or twice daily,Indefinite (lifelong maintenance),14,1527,Low,14-aa GC-C agonist acting in the gut lumen after oral dosing; chemically synthesized and mechanistically incompatible with secreted expression.
Orange Book,Linaclotide,LINZESS,Chronic constipation,Gastroenterology – Motility,protein,GUCY2C,0.92,290MCG oral,Once or twice daily,Indefinite (lifelong maintenance),14,1527,Low,14-aa GC-C agonist acting in the gut lumen after oral dosing; chemically synthesized and mechanistically incompatible with secreted expression.
Orange Book,Liraglutide,LIRAGLUTIDE,Type 2 diabetes,Endocrinology – Diabetes,protein,GLP1R,1.42,18MG/3ML (6MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),31,3751,Low,31-aa GLP-1 with a C16 fatty-acid pharmacophore that cells cannot attach; unsuitable for AAV expression.
Orange Book,Liraglutide,LIRAGLUTIDE,Diabetes mellitus,Endocrinology – Diabetes,protein,GLP1R,1.42,18MG/3ML (6MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),31,3751,Low,31-aa GLP-1 with a C16 fatty-acid pharmacophore that cells cannot attach; unsuitable for AAV expression.
Orange Book,Navepegritide,YUVIWEL,Achondroplasia,Endocrinology – Growth,protein,,,5.5MG/VIAL SC,Weekly or as directed,Indefinite (lifelong maintenance),38,45000,Low,CNP peptide conjugated to a branched 40-kDa PEG; the PEG carrier cannot be genetically encoded.
Orange Book,Palopegteriparatide,YORVIPATH,Osteoporosis,Bone / Metabolic,protein,PTH1R,,0.42MG TERIPARATIDE/1.4ML (0.3MG TERIPARATIDE/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),34,47400,Low,PTH(1-34) conjugated to 40-kDa PEG (TransCon); the PEG carrier cannot be genetically encoded.
Orange Book,Plecanatide,TRULANCE,Irritable bowel syndrome,Gastroenterology – Motility,protein,GUCY2C,0.07,3MG oral,Once or twice daily,Indefinite (lifelong maintenance),16,1682,Low,16-aa oral GC-C agonist acting locally in the intestine; not a secreted-protein target.
Orange Book,Plecanatide,TRULANCE,Chronic constipation,Gastroenterology – Motility,protein,GUCY2C,0.07,3MG oral,Once or twice daily,Indefinite (lifelong maintenance),16,1682,Low,16-aa oral GC-C agonist acting locally in the intestine; not a secreted-protein target.
Orange Book,Semaglutide,OZEMPIC,Type 2 diabetes,Endocrinology – Diabetes,protein,GLP1R,16.7,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),31,4114,Low,31-aa GLP-1 whose C18 fatty-diacid is essential to potency and weekly dosing; not genetically encodable and too small to be a good transgene.
Orange Book,Semaglutide,OZEMPIC,Diabetes mellitus,Endocrinology – Diabetes,protein,GLP1R,16.7,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),31,4114,Low,31-aa GLP-1 whose C18 fatty-diacid is essential to potency and weekly dosing; not genetically encodable and too small to be a good transgene.
Orange Book,Semaglutide,OZEMPIC,Myocardial infarction (risk reduction),Endocrinology – Diabetes,protein,GLP1R,16.7,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),31,4114,Low,31-aa GLP-1 whose C18 fatty-diacid is essential to potency and weekly dosing; not genetically encodable and too small to be a good transgene.
Orange Book,Semaglutide,OZEMPIC,Stroke (risk reduction),Endocrinology – Diabetes,protein,GLP1R,16.7,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),31,4114,Low,31-aa GLP-1 whose C18 fatty-diacid is essential to potency and weekly dosing; not genetically encodable and too small to be a good transgene.
Orange Book,Teduglutide,GATTEX KIT,Short bowel syndrome,Endocrinology – Metabolic,protein,GLP2R,,5MG/VIAL SC,Once daily,Indefinite (lifelong maintenance),33,3752,Medium,"Natural-sequence GLP-2 analog of only 33 aa; encodable, yet very short peptides are hard to secrete efficiently from an AAV transgene."
Orange Book,Teriparatide,BONSITY,Osteoporosis,Bone / Metabolic,protein,PTH1R,0.08,0.56MG/2.24ML (0.25MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),34,4118,Medium,"Natural PTH(1-34), 34 aa; genetically encodable but too short to express and secrete efficiently on its own."
Orange Book,Teriparatide,BONSITY,Menopausal / hormone therapy,Bone / Metabolic,protein,PTH1R,0.08,0.56MG/2.24ML (0.25MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),34,4118,Medium,"Natural PTH(1-34), 34 aa; genetically encodable but too short to express and secrete efficiently on its own."
Orange Book,Tirzepatide,MOUNJARO,Type 2 diabetes,Endocrinology – Diabetes,protein,"GIPR, GLP1R",11.5,60MG/2.4ML SC,Weekly or as directed,Indefinite (lifelong maintenance),39,4813,Low,39-aa dual GIP/GLP-1 agonist with a C20 fatty-diacid; the lipid modification cannot be gene-encoded.
Orange Book,Tirzepatide,MOUNJARO,Obesity / weight management,Endocrinology – Diabetes,protein,"GIPR, GLP1R",11.5,60MG/2.4ML SC,Weekly or as directed,Indefinite (lifelong maintenance),39,4813,Low,39-aa dual GIP/GLP-1 agonist with a C20 fatty-diacid; the lipid modification cannot be gene-encoded.
Orange Book,Triptorelin Pamoate,TRELSTAR,Prostate cancer,Oncology – Solid Tumor,protein,GNRHR,0,22.5MG BASE/VIAL,Monthly or quarterly,Long-term (until progression / disease control),10,1312,Low,10-aa GnRH analog with a non-natural D-tryptophan; cannot be produced from a gene.
Orange Book,Vosoritide,VOXZOGO,Achondroplasia,Endocrinology – Growth,protein,NPR2,,1.2MG/VIAL SC,Weekly or as directed,Indefinite (lifelong maintenance),39,4100,Low,39-aa modified CNP analog; a small synthetic peptide that makes a poor AAV transgene.
Orange Book,Ziconotide Acetate,PRIALT,Chronic pain,Pain – Chronic,protein,CACNA1B,,500MCG/5ML intrathecal,Continuous infusion,Indefinite (lifelong maintenance),25,2639,Low,"25-aa synthetic omega-conotoxin delivered intrathecally to block ion channels; a disulfide-rich synthetic peptide, not an expression target."
