Disease / Indication,Drug_Count,Disease_Category,Is_Specific,Drugs
Metabolic disorder,105,Metabolic,No,"Alendronate Sodium(FDPS), Alendronate Sodium; Cholecalciferol(FDPS), Alfuzosin Hydrochloride(ADRA1A), Alpha-tocopherol Acetate; Ascorbic Acid; Biotin; Cholecalciferol; Cyanocobalamin; Dexpanthenol; Folic Acid; Niacinamide; Pyridoxine Hydrochloride; Riboflavin 5'-phosphate Sodium; Thiamine Hydrochloride; Vitamin a Palmitate; Vitamin k(VDR), Amifampridine Phosphate(KCNQ1), Ascorbic Acid; Biotin; Cholecalciferol; Cyanocobalamin; Dexpanthenol; Folic Acid; Niacinamide; Pyridoxine; Riboflavin; Thiamine; Tocopherol Acetate; Vitamin a; Vitamin k(VDR), Bacitracin Zinc; Hydrocortisone; Neomycin Sulfate; Polymyxin b Sulfate(NR3C1), Bacitracin Zinc; Neomycin Sulfate; Polymyxin b Sulfate(rpsB), Bacitracin Zinc; Polymyxin b Sulfate(C55-isoprenyl pyrophosphate inhibitor; Cell outer), Bazedoxifene Acetate; Estrogens, Conjugated(ESR2), Calcitonin Salmon(CALCR), Calcitriol(VDR), Calcium Acetate(Phosphate sequestering agent), Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride(Supplement), Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride; Sodium Citrate(Supplement), Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Chloride(Supplement), Calcium Chloride; Potassium Chloride; Sodium Chloride(Supplement), Calcium Chloride; Potassium Chloride; Sodium Chloride; Sodium Lactate(Supplement), Calcium Gluconate(Mineral supplement), Cinacalcet Hydrochloride(CASR), Cupric Sulfate; Manganese Sulfate; Selenious Acid; Zinc Sulfate(Unknown; Supplement), Cyanocobalamin(Supplement), Desmopressin Acetate(AVPR2), Desogestrel; Ethinyl Estradiol(PGR), Dienogest; Estradiol Valerate(ESR1), Doxercalciferol(VDR), Dutasteride(SRD5A1), Dutasteride; Tamsulosin Hydrochloride(SRD5A1), Estradiol Acetate(ESR1), Estradiol Cypionate(ESR1), Estradiol Valerate(ESR1), Estradiol(ESR1), Estradiol; Levonorgestrel(ESR1), Estradiol; Norethindrone Acetate(ESR1), Estradiol; Norethindrone Acetate; Relugolix(ESR1), Estradiol; Progesterone(ESR1), Estrogens, Conjugated(ESR2), Estrogens, Conjugated; Medroxyprogesterone Acetate(ESR2), Ethinyl Estradiol; Ethynodiol Diacetate(ESR1), Ethinyl Estradiol; Etonogestrel(ESR1), Ethinyl Estradiol; Levonorgestrel(ESR1), Ethinyl Estradiol; Norelgestromin(ESR1), Ethinyl Estradiol; Norethindrone Acetate(ESR1), Ethinyl Estradiol; Norethindrone(ESR1), Ethinyl Estradiol; Norgestimate(ESR1), Ethinyl Estradiol; Norgestrel(ESR1), Ethinyl Estradiol; Segesterone Acetate(ESR1), Ferric Citrate(Phosphate sequestering agent), Ferric Derisomaltose(Supplement), Ferric Hexacyanoferrate(ii)(Radioactive metals chelating agent), Ferric Maltol(Supplement), Ferric Oxyhydroxide(Phosphate sequestering agent), Finasteride(SRD5A2), Finasteride; Tadalafil(SRD5A2), Fludarabine Phosphate(RRM1), Fluoroestradiol F-18(Diagnostic agent), Folic Acid, Hydroxocobalamin(Cyanide sequestering agent), Ibandronate Sodium(FDPS), Icosapent Ethyl(Unknown), Iron Dextran(Supplement), Iron Sucrose(Supplement), Levonorgestrel(PGR), Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Monobasic; Sodium Acetate; Sodium Chloride; Sodium Gluconate; Sodium Phosphate, Dibasic, Heptahydrate(Supplement), Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride; Sodium Gluconate(Supplement), Medroxyprogesterone Acetate(PGR), Methyltestosterone(AR), Niacin, Nitisinone(HPD), Norethindrone Acetate(PGR), Norethindrone(PGR), Norgestrel(PGR), Omega-3-acid Ethyl Esters(Unknown), Osilodrostat Phosphate(CYP11B1), Pamidronate Disodium(FDPS), Paricalcitol(VDR), Patiromer Sorbitex Calcium(Potassium chelating agent), Pioglitazone Hydrochloride(PPARG), Potassium Chloride(Supplement), Potassium Chloride; Sodium Chloride(Supplement), Potassium Citrate, Potassium Phosphate, Dibasic; Potassium Phosphate, Monobasic, Primaquine Phosphate(Unknown), Progesterone(PGR), Pyridoxine Hydrochloride(Supplement), Raloxifene Hydrochloride(ESR2), Riboflavin 5'-phosphate Sodium(Unknown), Risedronate Sodium(FDPS), Sapropterin Dihydrochloride(PAH), Sevelamer Hydrochloride(Phosphate sequestering agent), Silodosin(ADRA1A), Sitagliptin, Sitagliptin Hydrochloride, Sodium Ferric Gluconate Complex(Supplement), Sodium Polystyrene Sulfonate(Potassium sequestering agent), Sodium Zirconium Cyclosilicate(Potassium chelating agent), Tamsulosin Hydrochloride(ADRA1A), Testosterone Cypionate(AR), Testosterone Enanthate(AR), Testosterone Undecanoate(AR), Testosterone(AR), Thiamine Hydrochloride(Supplement), Zinc Chloride, Zinc Sulfate, Zoledronic Acid(FDPS)"
Cancer,88,Oncology,No,"Abrocitinib(JAK1), Alpelisib(PIK3CA), Arsenic Trioxide(TXNRD1), Avapritinib(KIT), Avutometinib Potassium; Defactinib Hydrochloride(MAP2K1), Axitinib(FLT1), Bendamustine Hydrochloride(DNA inhibitor), Binimetinib(MAP2K1), Cabazitaxel(TUBB4B), Cabozantinib S-malate(KDR), Capmatinib Hydrochloride(MET), Chlorambucil(DNA inhibitor), Clofarabine(RRM1), Cobimetinib Fumarate(MAP2K1), Dabrafenib Mesylate(BRAF), Degarelix Acetate(GNRHR), Deucravacitinib(TYK2), Deuruxolitinib Phosphate(JAK3), Docetaxel(TUBB4B), Duvelisib, Enasidenib Mesylate(IDH2), Encorafenib(BRAF), Erdafitinib(FGFR3), Eribulin Mesylate(TUBB4B), Fedratinib Hydrochloride(JAK2), Fluorouracil(TYMS), Fostamatinib Disodium(SYK), Fruquintinib(FLT1), Futibatinib(FGFR3), Gilteritinib Fumarate(FLT3), Glasdegib Maleate(SMO), Goserelin Acetate(GNRHR), Idelalisib(PIK3CD), Inavolisib(PIK3CA), Irinotecan Hydrochloride(TOP1), Ivosidenib(IDH1), Larotrectinib Sulfate(NTRK1), Lenalidomide(CRBN), Leniolisib Phosphate(PIK3CD), Lenvatinib Mesylate(FLT1), Lomustine(DNA inhibitor), Methotrexate Sodium(DHFR), Methotrexate(DHFR), Midostaurin(FLT3), Mirdametinib, Momelotinib Dihydrochloride, Nelarabine(DNA inhibitor), Nilotinib, Nilotinib D-tartrate, Nilotinib Tartrate, Niraparib Tosylate(PARP2), Olutasidenib(IDH1), Paclitaxel(TUBB4B), Pacritinib Citrate(JAK2), Pemetrexed Dipotassium(GART), Pemetrexed Disodium(TYMS), Pemetrexed(DHFR), Pemigatinib(FGFR2), Pexidartinib Hydrochloride(CSF1R), Pomalidomide(CRBN), Pralsetinib(RET), Quizartinib Dihydrochloride(FLT3), Regorafenib(ABL1), Relugolix(GNRHR), Remibrutinib, Repotrectinib(NTRK1), Ripretinib(KIT), Ritlecitinib Tosylate(JAK3), Ruxolitinib Phosphate(JAK1), Selpercatinib(RET), Selumetinib Sulfate(MAP2K1), Sevabertinib, Sonidegib Phosphate(SMO), Sorafenib Tosylate(RAF1), Sunitinib Malate(CSF1R), Sunvozertinib, Talazoparib Tosylate(PARP2), Tepotinib Hydrochloride(MET), Topotecan Hydrochloride(TOP1), Tovorafenib(RAF1), Trametinib Dimethyl Sulfoxide(MAP2K2), Triptorelin Pamoate(GNRHR), Tucatinib(ERBB2), Vemurafenib(BRAF), Vimseltinib, Vinorelbine Tartrate(TUBB4B), Vismodegib(SMO), Zongertinib"
Cardiovascular disease,82,Cardiovascular,No,"Acebutolol Hydrochloride(ADRB1), Aliskiren Hemifumarate(REN), Ambrisentan(EDNRB), Amiloride Hydrochloride; Hydrochlorothiazide(SCNN1A), Amiodarone Hydrochloride(KCNH2), Apraclonidine Hydrochloride(ADRA2A), Aspirin(PTGS2), Aspirin; Dipyridamole(PTGS2), Atenolol(ADRB1), Atenolol; Chlorthalidone(ADRB1), Azilsartan Kamedoxomil(AGTR1), Azilsartan Kamedoxomil; Chlorthalidone(AGTR1), Betaxolol Hydrochloride(ADRB1), Bisoprolol Fumarate(ADRB1), Bisoprolol Fumarate; Hydrochlorothiazide(ADRB1), Bosentan(EDNRB), Bumetanide(SLC12A1), Candesartan Cilexetil(AGTR1), Candesartan Cilexetil; Hydrochlorothiazide(AGTR1), Carteolol Hydrochloride(ADRB1), Carvedilol Phosphate(ADRB1), Carvedilol(ADRB1), Chlorothiazide Sodium(SLC12A3), Cilostazol(PDE3A), Clonidine Hydrochloride(ADRA2A), Clonidine(ADRA2A), Clopidogrel Bisulfate(P2RY12), Dipyridamole(SLC29A1), Disopyramide Phosphate(SCN1A), Dofetilide(KCNH2), Doxazosin Mesylate(ADRA1A), Epoprostenol Sodium(PTGIR), Ethacrynic Acid(SLC12A1), Flecainide Acetate(SCN5A), Furosemide(SLC12A1), Hydralazine Hydrochloride(Unknown), Hydralazine Hydrochloride; Isosorbide Dinitrate(GUCY1B1), Hydrochlorothiazide(SLC12A3), Hydrochlorothiazide; Irbesartan(SLC12A3), Hydrochlorothiazide; Losartan Potassium(SLC12A3), Hydrochlorothiazide; Metoprolol Tartrate(SLC12A3), Hydrochlorothiazide; Olmesartan Medoxomil(SLC12A3), Hydrochlorothiazide; Telmisartan(SLC12A3), Hydrochlorothiazide; Triamterene(SLC12A3), Hydrochlorothiazide; Valsartan(SLC12A3), Iloprost(PTGIR), Indapamide(SLC12A3), Irbesartan(AGTR1), Ivabradine Hydrochloride(HCN4), Labetalol Hydrochloride(ADRA1A), Landiolol Hydrochloride(ADRB1), Losartan Potassium(AGTR1), Macitentan(EDNRB), Macitentan; Tadalafil(EDNRB), Methyldopa(ADRA2A), Metolazone(SLC12A3), Metoprolol Succinate(ADRB1), Metoprolol Tartrate(ADRB1), Mexiletine Hydrochloride(SCN1A), Midodrine Hydrochloride(ADRA1A), Olmesartan Medoxomil(AGTR1), Prasugrel Hydrochloride(P2RY12), Prazosin Hydrochloride(ADRA1A), Quinidine Gluconate(SCN1A), Quinidine Sulfate(SCN1A), Ranolazine(SCN5A), Riociguat(GUCY1B1), Sacubitril; Valsartan(MME), Selexipag(PTGIR), Sildenafil Citrate(PDE5A), Tadalafil(PDE5A), Telmisartan(AGTR1), Terazosin Hydrochloride(ADRA1A), Ticagrelor(P2RY12), Tolvaptan(AVPR2), Torsemide(SLC12A1), Treprostinil Diolamine(PTGIR), Treprostinil Sodium(PTGIR), Treprostinil(PTGIR), Valsartan(AGTR1), Vardenafil Hydrochloride(PDE5A), Warfarin Sodium(VKORC1)"
Hypertension,79,Cardiovascular,Yes,"Acarbose(AMY2A), Acetazolamide Sodium(CA1), Acetazolamide(CA1), Amlodipine Benzoate(CACNA1C), Amlodipine Besylate(CACNA1C), Amlodipine Besylate; Atorvastatin Calcium(CACNA1C), Amlodipine Besylate; Benazepril Hydrochloride(CACNA1C), Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil(CACNA1C), Amlodipine Besylate; Hydrochlorothiazide; Valsartan(CACNA1C), Amlodipine Besylate; Indapamide; Telmisartan(CACNA1C), Amlodipine Besylate; Olmesartan Medoxomil(CACNA1C), Amlodipine Besylate; Telmisartan(CACNA1C), Amlodipine Besylate; Valsartan(CACNA1C), Benazepril Hydrochloride(ACE), Benazepril Hydrochloride; Hydrochlorothiazide(ACE), Brimonidine Tartrate; Brinzolamide(ADRA2A), Brimonidine Tartrate; Carbachol(ADRA2A), Brinzolamide(CA2), Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate(Supplement; Saline laxative), Captopril(ACE), Captopril; Hydrochlorothiazide(ACE), Carbamazepine(SCN1A), Carbidopa(DDC), Carbidopa; Entacapone; Levodopa(DDC), Carbidopa; Levodopa(DDC), Cilastatin Sodium; Imipenem; Relebactam(DPEP1), Clevidipine(CACNA1C), Diltiazem Hydrochloride(CACNA1C), Dorzolamide Hydrochloride(CA2), Dorzolamide Hydrochloride; Timolol Maleate(CA2), Dronedarone Hydrochloride(CACNA1C), Drospirenone(NR3C2), Drospirenone; Estetrol(NR3C2), Drospirenone; Estradiol(NR3C2), Drospirenone; Ethinyl Estradiol(NR3C2), Drospirenone; Ethinyl Estradiol; Levomefolate Calcium(NR3C2), Enalapril Maleate(ACE), Enalapril Maleate; Hydrochlorothiazide(ACE), Eplerenone(NR3C2), Eslicarbazepine Acetate(SCN1A), Ethosuximide(CACNA1H), Felodipine(NR3C2), Ferric Carboxymaltose(Supplement), Finerenone(NR3C2), Foscarbidopa; Foslevodopa(DDC), Fosinopril Sodium(ACE), Fosinopril Sodium; Hydrochlorothiazide(ACE), Gabapentin Enacarbil(CACNA1H), Hydrochlorothiazide; Lisinopril(SLC12A3), Hydrochlorothiazide; Moexipril Hydrochloride(SLC12A3), Hydrochlorothiazide; Quinapril Hydrochloride(SLC12A3), Hydrochlorothiazide; Spironolactone(SLC12A3), Isradipine(CACNA1C), Lanthanum Carbonate(Phosphate sequestering agent), Levetiracetam(SV2A), Lisinopril(ACE), Lithium Carbonate(IMPA1), Magnesium Chloride; Sodium Bicarbonate; Sodium Chloride, Methazolamide(CA7), Methsuximide(CACNA1H), Moexipril Hydrochloride(ACE), Nicardipine Hydrochloride(CACNA1C), Nifedipine(CACNA1C), Nimodipine(NR3C2), Nisoldipine(CACNA1C), Omeprazole; Sodium Bicarbonate(ATP4A), Oxcarbazepine(SCN1A), Phenobarbital Sodium, Procarbazine Hydrochloride(DNA inhibitor), Quinapril Hydrochloride(ACE), Ramipril(ACE), Sevelamer Carbonate(Unknown), Sodium Bicarbonate, Spironolactone(NR3C2), Tapinarof(AHR), Topiramate(CA2), Trandolapril(ACE), Trandolapril; Verapamil Hydrochloride(ACE), Verapamil Hydrochloride(CACNA1C)"
Heart failure,68,Metabolic,Yes,"Acarbose(AMY2A), Acetazolamide Sodium(CA1), Acetazolamide(CA1), Amlodipine Besylate; Benazepril Hydrochloride(CACNA1C), Benazepril Hydrochloride(ACE), Benazepril Hydrochloride; Hydrochlorothiazide(ACE), Bexagliflozin(SLC5A2), Brimonidine Tartrate; Brinzolamide(ADRA2A), Brimonidine Tartrate; Carbachol(ADRA2A), Brinzolamide(CA2), Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate(Supplement; Saline laxative), Canagliflozin(SLC5A2), Canagliflozin; Metformin Hydrochloride(SLC5A2), Captopril(ACE), Captopril; Hydrochlorothiazide(ACE), Carbamazepine(SCN1A), Carbidopa(DDC), Carbidopa; Entacapone; Levodopa(DDC), Carbidopa; Levodopa(DDC), Cilastatin Sodium; Imipenem; Relebactam(DPEP1), Dapagliflozin(SLC5A2), Dapagliflozin; Metformin Hydrochloride(SLC5A2), Digoxin(ATP1A1), Dorzolamide Hydrochloride(CA2), Dorzolamide Hydrochloride; Timolol Maleate(CA2), Drospirenone(NR3C2), Drospirenone; Estetrol(NR3C2), Drospirenone; Estradiol(NR3C2), Drospirenone; Ethinyl Estradiol(NR3C2), Drospirenone; Ethinyl Estradiol; Levomefolate Calcium(NR3C2), Empagliflozin(SLC5A2), Empagliflozin; Metformin Hydrochloride(SLC5A2), Enalapril Maleate(ACE), Enalapril Maleate; Hydrochlorothiazide(ACE), Eplerenone(NR3C2), Ertugliflozin(SLC5A2), Ertugliflozin; Metformin Hydrochloride(SLC5A2), Eslicarbazepine Acetate(SCN1A), Ferric Carboxymaltose(Supplement), Finerenone(NR3C2), Foscarbidopa; Foslevodopa(DDC), Fosinopril Sodium(ACE), Fosinopril Sodium; Hydrochlorothiazide(ACE), Gabapentin Enacarbil(CACNA1H), Hydrochlorothiazide; Lisinopril(SLC12A3), Hydrochlorothiazide; Moexipril Hydrochloride(SLC12A3), Hydrochlorothiazide; Quinapril Hydrochloride(SLC12A3), Hydrochlorothiazide; Spironolactone(SLC12A3), Lanthanum Carbonate(Phosphate sequestering agent), Lisinopril(ACE), Lithium Carbonate(IMPA1), Magnesium Chloride; Sodium Bicarbonate; Sodium Chloride, Methazolamide(CA7), Moexipril Hydrochloride(ACE), Omeprazole; Sodium Bicarbonate(ATP4A), Oxcarbazepine(SCN1A), Phenobarbital Sodium, Procarbazine Hydrochloride(DNA inhibitor), Quinapril Hydrochloride(ACE), Ramipril(ACE), Sevelamer Carbonate(Unknown), Sodium Bicarbonate, Sotagliflozin(SLC5A1), Spironolactone(NR3C2), Tapinarof(AHR), Topiramate(CA2), Trandolapril(ACE), Trandolapril; Verapamil Hydrochloride(ACE)"
