Company,Country,Product_Name,Target_Disease,Cell_Type,Gene_Target,Stage,Source_URL,Source_Date,Notes
Mesoblast,United States,Ryoncil (remestemcel-L-rknd),Steroid-refractory acute GVHD (pediatric),"MSC (bone marrow-derived, allogeneic)",,Approved-Marketed,https://ipscell.com/2025/01/updated-2025-list-of-fda-approved-cell-and-gene-therapies/,2025-01,"First FDA-approved allogeneic MSC therapy; approved Dec 18, 2024"
Osiris Therapeutics,United States/Canada,"Prochymal (remestemcel-L, predecessor of Ryoncil)",Severe refractory GVHD,"MSC (bone marrow-derived, allogeneic)",,Approved-Marketed,https://www.labiotech.eu/trends-news/tigenix-alofisel-stem-cell-therapy/,2024,Historically approved in Canada; two Phase 3 GVHD trials in US did not meet endpoints per NCBI review
Gamida Cell,United States/Israel,Omisirge (omidubicel-onlv),"Blood cancers (hematologic malignancies), severe aplastic anemia",Cord blood-derived stem cell,,Approved-Marketed,https://ipscell.com/2025/01/updated-2025-list-of-fda-approved-cell-and-gene-therapies/,2025-01,FDA approved 2023
Vericel,United States,MACI,Cartilage damage (knee),Autologous cultured chondrocytes,,Approved-Marketed,https://ipscell.com/2025/01/updated-2025-list-of-fda-approved-cell-and-gene-therapies/,2025-01,Often listed alongside stem cell products in FDA cell/gene therapy roundups; chondrocytes not stem cells per se
Orca Bio,United States,Orca-T,"Blood cancers (leukemia/lymphoma, replacing diseased bone marrow)",Allogeneic stem cell-derived Tregs + T cells + HSC,,Phase 3 (BLA submitted),https://bioinformant.com/ipsc-derived-cell-therapeutics/,2026,"Completed Phase 3; PDUFA date reported as April 6, 2026"
BlueRock Therapeutics (Bayer),United States,Bemdaneprocel,Parkinson's disease,hESC-derived dopaminergic neurons,,Phase 3,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2025-09,Initiated pivotal Phase 3 in September 2025
Aspen Neuroscience,United States,ANPD001,Parkinson's disease,iPSC patient-derived dopaminergic neurons,,Phase 1/2,https://www.labiotech.eu/best-biotech/stem-cell-therapy-company/,2026,
Neurona Therapeutics,United States,NRTX-1001,Drug-resistant focal epilepsy,hPSC-derived GABAergic interneurons,,Phase 1/2,https://www.labiotech.eu/best-biotech/stem-cell-therapy-company/,2026,
Vertex Pharmaceuticals,United States,Zimislecel (VX-880),Type 1 diabetes,hPSC-derived insulin-producing islet cells,,Phase 1/2/3,https://news.vrtx.com/news-releases/news-release-details/vertex-presents-positive-data-zimislecel-type-1-diabetes,2025,FORWARD-101 study converted from Phase 1/2 to pivotal Phase 1/2/3; positive data at ADA 85th Scientific Sessions
Vertex Pharmaceuticals,United States,VX-880 platform (islet cell programs),Sickle cell disease; beta thalassemia (related pipeline),hPSC-derived cells,,Phase 1/2,https://www.labiotech.eu/best-biotech/stem-cell-therapy-company/,2026,Broader hPSC-derived pipeline beyond diabetes
BioCardia,United States,CardiAMP-related MSC program,Ischemic heart failure,MSC-derived mononuclear cells,,Phase 2/3,https://www.labiotech.eu/best-biotech/stem-cell-therapy-company/,2026,
Lineage Cell Therapeutics,United States,OpRegen,Age-related macular degeneration (dry AMD/GA),hESC-derived retinal pigment epithelial cells,,Phase 2,https://www.labiotech.eu/best-biotech/stem-cell-therapy-company/,2026,
Lineage Cell Therapeutics,United States,OPC1,Spinal cord injury,hESC-derived oligodendrocyte progenitor cells,,Phase 1/2,https://www.labiotech.eu/best-biotech/stem-cell-therapy-company/,2026,
Gameto,United States,Fertilo,Infertility / IVF egg maturation support,iPSC-derived ovarian support cells,,Phase 3,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2025-01,First iPSC-based therapy to enter US Phase 3; FDA clearance Jan 2025
Longeveron,United States,Lomecel-B,Alzheimer's disease; aging frailty; hypoplastic left heart syndrome,Bone marrow-derived MSC (allogeneic),,Phase 2b,https://www.labiotech.eu/best-biotech/stem-cell-therapy-company/,2026,
Immunis,United States,IMMUNIS-derived EV program,Sarcopenia/muscle loss; obesity; knee osteoarthritis,Stem cell-derived extracellular vesicles/growth factors,,Phase 2,https://www.labiotech.eu/best-biotech/stem-cell-therapy-company/,2026,
Sana Biotechnology,United States,UP421,Type 1 diabetes,Hypoimmune-modified primary islet cells (deceased donor),"Immune-evasion edits (HLA-I/II knockout, CD47 overexpression) -- not a secreted therapeutic transgene",Phase 1 (investigator-sponsored),https://www.type1strong.org/blog-post/t1d-cure-research-breakthroughs-from-vertex-and-sana-biotechnology,2025,Uppsala University Hospital collaboration; no immunosuppression needed
Sana Biotechnology,United States,Stem-cell-derived islet candidate (hypoimmune iPSC platform),Type 1 diabetes,iPSC-derived islet cells,"Immune-evasion edits (HLA-I/II knockout, CD47 overexpression) -- not a secreted therapeutic transgene",Preclinical,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2026,Expected to enter clinic in 2026; 12-month positive T1D data reported on related hypoimmune platform
Fate Therapeutics,United States,iPSC-derived NK/T cell portfolio,Oncology (various hematologic and solid tumors),iPSC-derived NK/T cells,CD19 CAR + hnCD16 + IL-15RF (lead program FT596; varies by program),Phase 1,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2026,Broadest off-the-shelf iPSC-NK/T portfolio in clinical trials per source
Shoreline Biosciences,United States,Allogeneic NK/macrophage cell therapies,Cancer and other serious diseases,iPSC-derived NK cells and macrophages,,Preclinical/Phase 1,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2026,
Shinobi Therapeutics,United States,Katana platform CD8ab iPSC-T cells,Cancer (CAR/TCR-armed iPSC-T cells),Hypoimmune iPSC-derived T cells,,Preclinical,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2026,Master cell bank enabling rapid pipeline expansion via CAR/TCR insertion
Steminent Biotherapeutics,Taiwan,Stemchymal,Spinocerebellar ataxia (SCA),Adipose-derived MSC,,Phase 2,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2026-03,"US Phase 2 commenced March 9, 2026"
Reprocell,Japan,GMP iPSC master cell bank program (US Phase 2 notice),Not specified in source (regenerative medicine program),iPSC,,Phase 2,https://www.reprocell.com/hubfs/20260311_Notice%20Concerning%20the%20Launch%20of%20GMP%20Master.pdf,2026-03,Indication unclear from source; flagged for follow-up
BrainXell,United States,BXT-110,Parkinson's disease,iPSC-derived midbrain dopaminergic progenitors,,Preclinical,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2025,"2025 preclinical data: >60% graft survival, functional improvement in rodent models at 12 weeks"
Eterna Therapeutics,United States,Gene-edited iPSC programs,Immune modulation; hematopoietic regeneration,Gene-edited iPSC,,Preclinical,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2026,
Exacis Biotherapeutics,United States,iPSC-derived NK cells (mRNA gene-edited),Cancer,iPSC-derived NK cells,,Preclinical,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2026,
UniXell Biotechnology,China,UX-DA001,Parkinson's disease,Autologous iPSC-derived cells,,Phase 1,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2025,Phase 1 study started 2025
iRegene Therapeutics,China,NouvNeu001,Parkinson's disease,Allogeneic iPSC-derived cells,,Phase 1/2,https://www.prnewswire.com/news-releases/fda-grants-regenerative-medicine-advanced-therapy-rmat-designation-to-iregenes-nouvneu001-making-it-the-worlds-first-ipsc-therapy-with-both-ftd-and-rmat-recognitions-302663450.html,2026-01,First iPSC therapy globally with both FDA Fast Track and RMAT designations (Jan 2026)
TreeFrog Therapeutics,France,C-Stem platform,Regenerative medicine platform (multiple future indications),iPSC (encapsulated stem cell production platform),,Preclinical,https://bioinformant.com/ipsc-derived-cell-therapeutics/,2026,Completed $20.2M seed financing round
Athersys,United States,MultiStem,Ischemic stroke; inflammatory bowel disease; myocardial infarction; GVHD prevention; trauma,Allogeneic bone marrow-derived multipotent adult progenitor cells (MAPC),,Phase 3,https://www.athersys.com/multistem-therapy/clinical-pipeline/default.aspx,2023,Pivotal Phase 3 in North America/Europe for stroke
Healios K.K.,Japan,MultiStem (licensed from Athersys),Ischemic stroke,Allogeneic MAPC,,"Phase 3 (registrational, Japan)",https://www.businesswire.com/news/home/20230109005293/en/Athersys-Provides-MultiStem-Clinical-Update,2023-01,Registrational trial in Japan under partnership with Athersys
Century Therapeutics,United States,CNTY-101,"B-cell mediated autoimmune disease (SLE, lupus nephritis, myositis, scleroderma); oncology (CALiPSO-1)",iPSC-derived CD19 CAR-iNK cells,"CD19 CAR + sIL-15 (secreted) + Allo-Evasion edits (B2M-KO, CIITA-KO, HLA-E-KI, EGFR safety switch)",Phase 1/2,https://www.globenewswire.com/news-release/2025/01/21/3012514/0/en/Century-Therapeutics-Announces-Investigator-Initiated-Phase-1-2-Trial-of-its-iPSC-derived-iNK-Cell-Therapy-CNTY-101-in-B-cell-Mediated-Autoimmune-Diseases-Sponsored-by-Internationa.html,2025-01,Investigator-initiated trial; BMS strategic collaboration for iPSC allogeneic cell therapies
Cellular Biomedicine Group,China/United States,Adipose-derived progenitor cell programs,Degenerative diseases (autologous/allogeneic adipose progenitor cells); also CAR-T oncology pipeline,Adipose tissue-derived progenitor cells,,Clinical (multiple stages),https://www.edisongroup.com/research/cell-therapy-for-china-and-the-us/19636/,2024,Dual pipeline: immuno-oncology CAR-T + stem cell/degenerative disease programs; Wuxi GMP facility
Nuwacell,China,iPSC-derived cell therapy products (pipeline),Not fully specified (regenerative medicine indications),iPSC-derived cells,,Preclinical/Clinical,https://equalocean.com/briefing/20220913230148278,2022-09,Raised hundreds of millions CNY in Series A; focused on iPSC R&D and clinical translation
Boyalife Group,China,Cellular processing/biobanking + regenerative medicine programs,"Not fully specified (regenerative medicine, oncology via CAR-T)",Stem cell biobanking/regenerative medicine,,Preclinical/Various,https://boyalife.com/,2026,"Privately-held holding company, Wuxi HQ, 30 subsidiaries across cell processing, CAR-T, genomics"
铂生卓越 (Bosheng Boyue / PLEB),China,"艾米迈托赛注射液 Ruibosheng (Amimestrocel, PLEB-001)","Steroid-refractory acute GVHD (GI-predominant), age 14+",Human umbilical cord-derived MSC (allogeneic),,Approved-Marketed,https://finance.sina.com.cn/stock/relnews/cn/2025-01-03/doc-inecthkr4582500.shtml,2025-01-02,First stem cell therapy approved in mainland China (NMPA conditional approval via priority review)
中源协和 (Vcanbio),China,VUM03 注射液,Crohn's disease with complex perianal fistula (inactive/mildly active),Human umbilical cord-derived MSC,,"Phase (IND accepted, entering clinical)",https://m.10jqka.com.cn/20250509/c668051495.shtml,2024-12-31,IND accepted via subsidiary Wuhan Guanggu Zhongyuan Pharmaceutical; among top IND-count companies with 汉氏联合
天士力 (Tasly),China,Human umbilical cord MSC injection,Chronic heart failure,Umbilical cord-derived MSC (allogeneic),,Clinical (IND approved),https://m.10jqka.com.cn/20250509/c668051495.shtml,2025-05,
天士力 (Tasly),China,Allogeneic adipose-derived MSC program,Subacute ischemic stroke,Adipose-derived MSC (allogeneic),,Clinical (IND approved),https://m.10jqka.com.cn/20250509/c668051495.shtml,2025-05,
九芝堂美科 (Jiuzhitang Meike),China,Ischemia-tolerant allogeneic bone marrow MSC,Ischemic stroke,Bone marrow-derived MSC (allogeneic),,"Phase (ongoing, 17 subjects enrolled)",https://finance.sina.com.cn/jjxw/2025-01-03/doc-inecsvuv4747777.shtml,2025-01,Parent company Jiuzhitang (000989.SZ)
泽辉生物 (Zephyrm Biotechnologies),China,CAStem,Acute respiratory distress syndrome (ARDS) / pulmonary fibrosis-related disease,Pluripotent stem cell (PSC)-derived cells,,Phase 2,https://zephyrm.com/3-2/,2026,"Filed HK IPO prospectus; first Chinese company with CDE-approved PSC-derived cell therapy IND, only one with 2 PSC assets in Phase 2"
泽辉生物 (Zephyrm Biotechnologies),China,M-021001,"Meniscus injury (orthopedic, bone/joint system)",Pluripotent stem cell (PSC)-derived cells,,Phase 2,https://zephyrm.com/3-2/,2026,
汉氏联合 (Han's Biomed),China,"Placental/immune cell storage, CDMO, cell R&D (multiple products)","Multiple (regenerative medicine, cell banking); specific indications not detailed in source",Placental-derived stem cells; immune cells,,Multiple stages (R&D through clinical),https://www.vbdata.cn/companyDetail/8cee0d50459e11e7bfbeafaa3b163ceb,2025,"Among top-2 Chinese companies by number of approved stem cell drug INDs, alongside 中源协和"
泉生生物 (Quansheng Biotech),China,5 stem cell drug IND programs,ARDS; ankylosing spondylitis; decompensated hepatitis B cirrhosis; second-degree burns; COPD,"Stem cell (MSC, type not fully specified per indication)",,Clinical (IND approved),https://www.vbdata.cn/companyDetail/8cee0d50459e11e7bfbeafaa3b163ceb,2025,Founded 2016; described as a leading Chinese stem cell drug developer by IND count
士泽生物 (Sizhe Biotech),China,Multiple stem cell IND programs (4 approved in 2025),Not fully specified per indication in source,Stem cell (type unspecified),,Clinical (IND approved),https://www.phirda.com/artilce_39640.html?module=trackingCodeGenerator,2025,Reported as company with most 2025 IND approvals (4 of 4 filed applications approved)
中盛溯源 (Zhongsheng Suyuan),China,NCR100 注射液,Knee osteoarthritis,Human iPSC-derived mesenchymal-like cells (iMSC),,Phase 1/2,https://www.pharnexcloud.com/zixun/kp_7958,2022-09,"First and only CDE-approved iMSC clinical trial in China; company founded 2016, earliest Chinese iPSC-derived cell therapy developer"
华夏源 (Huaxiayuan) / ELPIS,China,ELPIS 人脐带间充质干细胞注射液,Moderate-severe plaque psoriasis; severe lupus nephritis; acute-on-chronic (subacute) liver failure; moderate-severe intrauterine adhesion; moderate-severe active inflammatory bowel disease (5th indication),Human umbilical cord-derived MSC (allogeneic),,Clinical (multiple INDs approved),https://www.phirda.com/artilce_39640.html?module=trackingCodeGenerator,2023-07,"5th indication IND accepted July 21, 2023; first 4 indications already cleared for clinical trial"
Medipost,South Korea,Cartistem,Knee cartilage defects / osteoarthritis,Cord blood-derived MSC (allogeneic),,Approved-Marketed,https://parentsguidecordblood.org/en/news/cartistem-cord-blood-derived-therapy-knee-arthritis,2012-01,First cord blood-derived regenerative medicine product approved anywhere in the world (Korea MFDS)
Corestem (Corestem Chemon),South Korea,NeuroNata-R (Lenzumestrocel),Amyotrophic lateral sclerosis (ALS),Autologous bone marrow-derived MSC,,Approved-Marketed (Korea); Phase 3 planned (US),https://alsnewstoday.com/news/phase-3-trial-neuronata-r-stem-cell-therapy-likely-open-us-sites-corestem-says/,2023,Approved as orphan drug in Korea 2014; US sites likely for future Phase 3
Anterogen,South Korea,Cupistem,Crohn's fistula (perianal fistula),Adipose-derived stem cells (autologous),,Approved-Marketed,https://www.researchgate.net/publication/51715588_South_Korea's_stem_cell_approval,2024,Korea MFDS approved; one of ~9 Asia-originated MSC approvals cited in regulatory review
Nipro Corporation,Japan,Stemirac,Spinal cord injury,Autologous bone marrow-derived MSC,,Approved-Marketed,https://www.cellcolabsclinical.com/knowledge-hub/safety-regulation/approved-stem-cell-drugs-and-therapies,2024,Conditional approval in Japan under its regenerative medicine regulatory pathway
Chiesi Farmaceutici (ex-TiGenix/Holostem),European Union,Holoclar,Limbal stem cell deficiency after corneal injury (burns),Limbal stem cells (autologous),,Approved-Marketed,https://www.eurostemcell.org/story/europe-approves-holoclar-first-stem-cell-based-medicinal-product,2015,First advanced therapy medicinal product containing stem cells approved in EU (conditional marketing authorization)
Takeda (ex-TiGenix),European Union/Japan,Alofisel (darvadstrocel),Complex perianal fistula in Crohn's disease (non-active/mildly active),Adipose-derived allogeneic MSC,,Approved-Marketed (Japan); EU withdrawal in progress,https://www.takeda.com/newsroom/statements/2024/takeda-alofisel-update-2024/,2024-12,EU approved 2018 but Takeda announced Dec 2024 voluntary EU marketing authorization withdrawal; still first approved allogeneic stem cell therapy in Japan
上海爱萨尔生物科技 (iXcell Biopharma),China,Umbilical cord-derived MSC injection,Knee osteoarthritis,"Mesenchymal Stem Cell (MSC), umbilical cord-derived",,Phase 1,https://www.ixcellbio.com/Product/ ; https://www.vbdata.cn/newsDetail/ea364a04809811e98a3400163e0cb09b,2019-05,Founded 2013 by team from US iPSC research institutions; NMPA implied clinical trial approval May 2019 for knee osteoarthritis; pipeline also covers iPSC-derived and immune-cell drugs (stage not disclosed for those programs)
赛莱拉 (Sailela / Cellara),China,Human umbilical cord MSC drug (knee osteoarthritis),Knee osteoarthritis,"Mesenchymal Stem Cell (MSC), umbilical cord-derived",,Phase 1,https://www.cs.com.cn/ssgs/gsxw/202308/t20230831_6364764.html ; http://finance.sina.com.cn/roll/2024-09-12/doc-incnvyqu7881322.shtml,2024-09,Founded 2009; Guangdong province's first Class I stem cell new drug to get NMPA clinical trial approval; multi-center Phase 1 at Peking Union Medical College Hospital and Sun Yat-sen Memorial Hospital; NDA targeted as early as 2028
中盛溯源 (Zhongsheng Suyuan),China,NCR300 injection (iPSC-derived NK cell therapy),Myelodysplastic syndrome (MDS),iPSC-derived NK cell (iNK),,Phase 1,https://bydrug.pharmcube.com/news/detail/377c49b85d42156bae85e0777612040b,2023-04,"First iPSC-derived NK-cell (iNK) therapy approved for clinical trial in China (CDE, April 2023); same company as the existing NCR100/iMSC knee-osteoarthritis row -- second, distinct pipeline product"
北京吉源生物 (Beijing Jiyuan Biotech),China,Human GLP-1 and FGF21 dual-factor high-expression adipose-derived stem cell injection,Type 2 diabetes (treatment-refractory),"Mesenchymal Stem Cell (MSC), adipose-derived, gene-modified",GLP-1; FGF21,Clinical (IND approved),https://www.pharnexcloud.com/zixun/spdt_17341 ; http://www.jiyuanbio.com.cn/p/43,2024-08,"China's first gene-modified mesenchymal stem cell drug to receive NMPA clinical trial approval (IND, Aug 28 2024); autologous, derived from patient's own abdominal fat, engineered to co-express GLP-1 and FGF21; founded 2012"
